genome_id,group_id
562.100183,grp_0001
562.100223,grp_0002
562.100314,grp_0003
562.100338,grp_0004
562.100384,grp_0005
562.100421,grp_0003
562.100442,grp_0005
562.100453,grp_0006
562.100488,grp_0001
562.100523,grp_0007
562.100554,grp_0001
562.100583,grp_0001
562.100598,grp_0008
562.100615,grp_0005
562.100704,grp_0004
562.100715,grp_0004
562.100734,grp_0005
562.100836,grp_0005
562.100843,grp_0001
562.100875,grp_0008
562.100894,grp_0009
562.100916,grp_0010
562.140831,grp_0001
562.140840,grp_0001
562.140841,grp_0001
562.140842,grp_0001
562.140846,grp_0001
562.140850,grp_0001
562.140851,grp_0001
562.140854,grp_0001
562.140871,grp_0001
562.140875,grp_0001
562.140879,grp_0001
562.140881,grp_0001
562.140887,grp_0001
562.140899,grp_0001
562.140901,grp_0011
562.140903,grp_0001
562.140906,grp_0001
562.140908,grp_0011
562.140912,grp_0001
562.140914,grp_0001
562.144163,grp_0001
562.144196,grp_0012
562.144201,grp_0001
562.144213,grp_0001
562.144251,grp_0010
562.144265,grp_0006
562.144300,grp_0001
562.144330,grp_0007
562.144951,grp_0013
562.144953,grp_0014
562.144956,grp_0010
562.144960,grp_0015
562.144962,grp_0016
562.144963,grp_0014
562.144964,grp_0017
562.144966,grp_0014
562.144970,grp_0018
562.144971,grp_0019
562.144977,grp_0010
562.144978,grp_0016
562.144980,grp_0010
562.144988,grp_0010
562.144999,grp_0020
562.145009,grp_0010
562.145010,grp_0014
562.145024,grp_0021
562.145028,grp_0015
562.145029,grp_0013
562.145032,grp_0022
562.145034,grp_0010
562.145045,grp_0010
562.145046,grp_0010
562.145047,grp_0010
562.145052,grp_0010
562.145057,grp_0018
562.145070,grp_0023
562.145071,grp_0014
562.145074,grp_0010
562.145077,grp_0014
562.145079,grp_0024
562.145386,grp_0007
562.145395,grp_0010
562.145397,grp_0010
562.145399,grp_0025
562.145401,grp_0026
562.145407,grp_0027
562.145409,grp_0010
562.145410,grp_0010
562.145411,grp_0010
562.145419,grp_0007
562.145424,grp_0010
562.145428,grp_0010
562.145430,grp_0010
562.145437,grp_0028
562.145821,grp_0004
562.16324,grp_0010
562.17359,grp_0001
562.17621,grp_0014
562.19081,grp_0001
562.19082,grp_0001
562.19083,grp_0029
562.19086,grp_0001
562.19632,grp_0001
562.19633,grp_0010
562.19821,grp_0014
562.22434,grp_0030
562.22442,grp_0001
562.22483,grp_0001
562.22501,grp_0006
562.22538,grp_0003
562.22555,grp_0001
562.22590,grp_0001
562.22599,grp_0009
562.22646,grp_0001
562.22647,grp_0003
562.22649,grp_0003
562.22655,grp_0001
562.22732,grp_0003
562.22745,grp_0009
562.22865,grp_0006
562.22881,grp_0014
562.22927,grp_0010
562.22934,grp_0006
562.22971,grp_0006
562.22973,grp_0009
562.23001,grp_0009
562.23080,grp_0009
562.23122,grp_0003
562.23136,grp_0009
562.23346,grp_0001
562.23371,grp_0001
562.23390,grp_0005
562.23391,grp_0011
562.23398,grp_0001
562.23410,grp_0001
562.23435,grp_0011
562.23474,grp_0001
562.23481,grp_0030
562.23563,grp_0009
562.23577,grp_0004
562.23580,grp_0007
562.23633,grp_0001
562.23640,grp_0006
562.23737,grp_0001
562.23760,grp_0001
562.23812,grp_0009
562.23825,grp_0001
562.23836,grp_0014
562.23837,grp_0031
562.23874,grp_0001
562.23878,grp_0010
562.28565,grp_0007
562.28845,grp_0001
562.29003,grp_0001
562.29008,grp_0006
562.29139,grp_0001
562.31451,grp_0014
562.31465,grp_0009
562.33280,grp_0032
562.34088,grp_0011
562.37112,grp_0010
562.42637,grp_0001
562.42644,grp_0001
562.42645,grp_0001
562.42650,grp_0001
562.42651,grp_0011
562.42658,grp_0020
562.42660,grp_0010
562.42670,grp_0001
562.42675,grp_0001
562.42683,grp_0001
562.42685,grp_0014
562.42688,grp_0033
562.42691,grp_0005
562.42704,grp_0001
562.42710,grp_0006
562.42712,grp_0001
562.42716,grp_0034
562.42718,grp_0001
562.42724,grp_0010
562.42725,grp_0001
562.42732,grp_0010
562.42738,grp_0001
562.42739,grp_0001
562.42740,grp_0030
562.42743,grp_0007
562.42755,grp_0001
562.42759,grp_0010
562.42773,grp_0001
562.42778,grp_0001
562.42783,grp_0014
562.42784,grp_0001
562.42787,grp_0001
562.42796,grp_0001
562.42801,grp_0001
562.42812,grp_0001
562.42816,grp_0014
562.42826,grp_0001
562.42830,grp_0006
562.42832,grp_0001
562.42836,grp_0001
562.42846,grp_0035
562.42850,grp_0006
562.42852,grp_0001
562.42855,grp_0001
562.42856,grp_0001
562.42859,grp_0001
562.42860,grp_0036
562.42862,grp_0001
562.42864,grp_0007
562.42866,grp_0011
562.45396,grp_0010
562.45589,grp_0010
562.45595,grp_0010
562.45601,grp_0010
562.45604,grp_0028
562.45611,grp_0010
562.45612,grp_0010
562.45615,grp_0006
562.45617,grp_0010
562.45624,grp_0037
562.45633,grp_0038
562.45636,grp_0010
562.45639,grp_0039
562.45646,grp_0010
562.45656,grp_0028
562.45665,grp_0014
562.45671,grp_0010
562.45672,grp_0014
562.45675,grp_0010
562.45846,grp_0040
562.45848,grp_0041
562.45910,grp_0001
562.45916,grp_0001
562.48345,grp_0006
562.48348,grp_0006
562.56775,grp_0007
562.56850,grp_0027
562.57082,grp_0001
562.57130,grp_0010
562.57140,grp_0009
562.57191,grp_0009
562.57192,grp_0014
562.57195,grp_0014
562.57201,grp_0014
562.57221,grp_0029
562.57253,grp_0030
562.57268,grp_0007
562.57271,grp_0030
562.57279,grp_0001
562.57292,grp_0014
562.57364,grp_0003
562.57368,grp_0014
562.57377,grp_0014
562.57404,grp_0014
562.57418,grp_0042
562.57420,grp_0043
562.57421,grp_0010
562.57428,grp_0014
562.57440,grp_0010
562.57450,grp_0044
562.57453,grp_0006
562.57463,grp_0029
562.57478,grp_0029
562.57479,grp_0007
562.57484,grp_0011
562.57503,grp_0001
562.57510,grp_0014
562.58627,grp_0001
562.58628,grp_0010
562.58643,grp_0014
562.58648,grp_0042
562.58651,grp_0004
562.58724,grp_0042
562.58727,grp_0014
562.58743,grp_0010
562.58758,grp_0010
562.58775,grp_0006
562.58778,grp_0010
