sample_id,group_id,antibiotic,label,marker_count,mutation_count,target_confirmed
562.100704,grp_0001,ciprofloxacin,1,0,3,1
562.100704,grp_0001,gentamicin,1,1,0,1
562.100836,grp_0002,ciprofloxacin,0,0,1,1
562.100836,grp_0002,gentamicin,1,1,0,1
562.100843,grp_0003,gentamicin,0,0,0,1
562.100916,grp_0004,ciprofloxacin,0,0,0,1
562.100916,grp_0004,gentamicin,0,0,0,1
562.140841,grp_0003,ciprofloxacin,1,0,3,1
562.140841,grp_0003,ceftriaxone,0,0,0,1
562.140841,grp_0003,gentamicin,1,1,0,1
562.140842,grp_0003,ciprofloxacin,1,0,3,1
562.140842,grp_0003,ceftriaxone,0,0,0,1
562.140842,grp_0003,gentamicin,1,1,0,1
562.140854,grp_0003,ciprofloxacin,1,0,4,1
562.140854,grp_0003,ceftriaxone,1,1,0,1
562.140854,grp_0003,gentamicin,0,0,0,1
562.144163,grp_0003,gentamicin,1,2,0,1
562.144951,grp_0005,ciprofloxacin,0,0,0,1
562.144951,grp_0005,ceftriaxone,0,0,0,1
562.144951,grp_0005,gentamicin,0,0,0,1
562.144953,grp_0006,ciprofloxacin,0,0,0,1
562.144953,grp_0006,ceftriaxone,0,0,0,1
562.144953,grp_0006,gentamicin,0,0,0,1
562.144964,grp_0007,ciprofloxacin,0,0,0,1
562.144964,grp_0007,ceftriaxone,0,0,0,1
562.144964,grp_0007,gentamicin,0,0,0,1
562.144971,grp_0008,ciprofloxacin,0,0,0,1
562.144971,grp_0008,ceftriaxone,0,0,0,1
562.144971,grp_0008,gentamicin,0,0,0,1
562.144977,grp_0009,ciprofloxacin,0,0,0,1
562.144977,grp_0009,ceftriaxone,0,0,0,1
562.144977,grp_0009,gentamicin,0,0,0,1
562.144978,grp_0010,ciprofloxacin,0,0,0,1
562.144978,grp_0010,ceftriaxone,0,0,0,1
562.144978,grp_0010,gentamicin,0,0,0,1
562.145010,grp_0006,ciprofloxacin,0,0,1,1
562.145010,grp_0006,ceftriaxone,0,0,0,1
562.145010,grp_0006,gentamicin,0,0,0,1
562.145029,grp_0005,ciprofloxacin,0,0,0,1
562.145029,grp_0005,ceftriaxone,0,0,0,1
562.145029,grp_0005,gentamicin,0,0,0,1
562.145034,grp_0011,ciprofloxacin,0,0,0,1
562.145034,grp_0011,ceftriaxone,0,0,0,1
562.145034,grp_0011,gentamicin,0,0,0,1
562.145057,grp_0012,ciprofloxacin,0,0,0,1
562.145057,grp_0012,ceftriaxone,0,0,0,1
562.145057,grp_0012,gentamicin,0,0,0,1
562.145074,grp_0013,ciprofloxacin,0,0,0,1
562.145074,grp_0013,ceftriaxone,0,0,0,1
562.145074,grp_0013,gentamicin,0,0,0,1
562.145077,grp_0006,ciprofloxacin,0,0,0,1
562.145077,grp_0006,ceftriaxone,0,0,0,1
562.145077,grp_0006,gentamicin,0,0,0,1
562.145079,grp_0014,ciprofloxacin,0,0,0,1
562.145079,grp_0014,ceftriaxone,0,0,0,1
562.145079,grp_0014,gentamicin,0,0,0,1
562.145395,grp_0004,ciprofloxacin,0,0,0,1
562.145395,grp_0004,ceftriaxone,1,1,0,1
562.145395,grp_0004,gentamicin,1,1,0,1
562.145399,grp_0015,ciprofloxacin,0,0,0,1
562.145399,grp_0015,ceftriaxone,1,1,0,1
562.145399,grp_0015,gentamicin,0,0,0,1
562.145407,grp_0016,ciprofloxacin,0,0,1,1
562.145407,grp_0016,ceftriaxone,1,1,0,1
562.145407,grp_0016,gentamicin,1,1,0,1
562.145419,grp_0017,ciprofloxacin,0,0,0,1
562.145419,grp_0017,ceftriaxone,1,1,0,1
562.145419,grp_0017,gentamicin,0,0,0,1
562.17359,grp_0003,ciprofloxacin,1,0,4,1
562.17359,grp_0003,gentamicin,0,0,0,1
562.17621,grp_0006,ciprofloxacin,1,0,3,1
562.17621,grp_0006,ceftriaxone,1,1,0,1
562.17621,grp_0006,gentamicin,0,0,0,1
562.19083,grp_0018,ceftriaxone,1,1,0,1
562.19632,grp_0003,ciprofloxacin,1,0,4,1
562.19632,grp_0003,ceftriaxone,1,0,0,1
562.19632,grp_0003,gentamicin,1,1,0,1
562.22442,grp_0003,ciprofloxacin,1,1,4,1
562.22442,grp_0003,gentamicin,0,1,0,1
562.22647,grp_0019,ciprofloxacin,1,0,3,1
562.22647,grp_0019,gentamicin,0,0,0,1
